Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,1.994216,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,2.011649,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,1.991601,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,1.952379,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,1.915772,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,1.938433,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,1.941920,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,1.962839,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,1.966325,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,1.975042,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,1.954123,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,1.922745,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,1.927974,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,1.929718,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,1.926232,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,1.907055,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,1.917516,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,1.896598,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,1.887010,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,1.854761,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,1.831228,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,1.889625,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,1.933204,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,1.945407,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,1.921003,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,1.923007,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,1.924751,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,1.926494,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,1.940442,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,1.942184,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,1.910802,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,1.907316,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,1.900343,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,1.898599,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,1.879420,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,1.880293,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,1.866345,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,1.872449,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,1.865474,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,1.868960,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,1.872449,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,1.895112,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,1.910802,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,1.903829,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,1.905573,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,1.911674,123200
